iter	TotalF1	MultiClass
220	0.9199788141	0.2080339528
221	0.9200825199	0.207898677
222	0.9202297295	0.2075304789
223	0.9203087695	0.2073841809
224	0.9204163322	0.2071240468
225	0.9204731796	0.2069576561
226	0.9205906508	0.2067427376
227	0.9207021457	0.2065985698
228	0.9207973523	0.2064039228
229	0.9208343012	0.2062612531
230	0.9209556018	0.2060885679
231	0.9210358848	0.2059086674
232	0.9211364151	0.2057309247
233	0.921232286	0.2055528933
234	0.9213384344	0.205355154
235	0.9214486828	0.2051299142
236	0.9214921724	0.2049854167
237	0.9215928519	0.2047761467
238	0.9217078176	0.2045844957
239	0.9218122445	0.2043636813
240	0.9219375384	0.2041221694
241	0.9220117772	0.203931769
242	0.9221036248	0.2037496696
243	0.9221499616	0.2036003893
244	0.9222268205	0.2034719165
245	0.9223104667	0.2031751564
246	0.9224529816	0.2029880269
247	0.9225583979	0.2028210864
248	0.9226309242	0.202631277
249	0.9227189182	0.2024317511
250	0.9228585284	0.202207061
251	0.9229403	0.2020548672
252	0.9230263172	0.2018380796
253	0.9230901013	0.2016999314
254	0.9231725189	0.2015768323
255	0.9232336713	0.2014276482
256	0.9232825177	0.2012829719
257	0.9234602073	0.2010593951
258	0.9235133777	0.2009830646
259	0.9235550654	0.200853561
260	0.923661807	0.2006263009
261	0.9237833434	0.20038024
262	0.9239060696	0.2001726742
263	0.9239331479	0.1999796626
264	0.9240195368	0.1998571956
265	0.9240461227	0.1997398549
266	0.9241327245	0.1995115916
267	0.9242752886	0.1993233077
268	0.9243666983	0.1990857814
269	0.9243987906	0.198922799
270	0.9245242373	0.1986530995
271	0.9245851634	0.1984900072
272	0.9246844244	0.1982651934
273	0.9247361657	0.1981297802
274	0.9247770017	0.1979978166
275	0.9248445505	0.1978487837
276	0.9249122648	0.1976643204
277	0.9250159965	0.1974676119
278	0.9251291554	0.1972613792
279	0.9252574784	0.1970198123
280	0.9253572625	0.1968059383
281	0.9254383924	0.196634009
282	0.9255949033	0.1962444812
283	0.9256847612	0.1960975786
284	0.9257909933	0.1959510744
285	0.9258534062	0.1958211311
286	0.9259121957	0.1956783102
287	0.925985251	0.1955418525
288	0.9260452985	0.1954313972
289	0.9261123694	0.1952454771
290	0.9261673174	0.1950890915
291	0.9262701821	0.194902072
292	0.9263151061	0.1947211683
293	0.9264513602	0.1945548463
294	0.9264967099	0.1944047689
295	0.9266302207	0.1941979178
296	0.9267337985	0.1939913002
297	0.9268404225	0.1937815905
298	0.9268932324	0.1936358697
299	0.9270179869	0.193419783
300	0.9270588543	0.1932463969
301	0.9271511774	0.1930471458
302	0.9272379273	0.1928864723
303	0.9272906909	0.1927423321
304	0.9274045612	0.1926018201
305	0.9275067033	0.1924138798
306	0.9276186232	0.1922740687
307	0.927677043	0.1921304094
308	0.927743908	0.191943816
309	0.9278033012	0.1918221186
310	0.9279244525	0.1916024999
311	0.928011248	0.1914413179
312	0.9280866437	0.1913018641
313	0.9281377173	0.1911886739
314	0.9282046727	0.1910448222
315	0.9282607107	0.1909261759
316	0.9283028863	0.1907775416
317	0.9284074326	0.1906435714
318	0.9285109407	0.1904147858
319	0.9286158291	0.1901904531
320	0.9287111853	0.1900446225
321	0.9288576611	0.189882767
322	0.9289141422	0.1897507347
323	0.9289870416	0.1895928236
324	0.9291082839	0.1894313117
325	0.929243534	0.1892130261
326	0.9293295846	0.1890224196
327	0.9294715586	0.1887714248
328	0.9295339611	0.1884404574
329	0.9295957804	0.1882694764
330	0.9296547316	0.1880835564
331	0.929737851	0.187847212
332	0.9298287409	0.1877233707
333	0.9298542371	0.1876270985
334	0.9299128429	0.1875086308
335	0.9300287776	0.1873214601
336	0.9301107345	0.1871876411
337	0.9301759118	0.1870006629
338	0.9302757619	0.1868682182
339	0.9303134237	0.1867404051
340	0.9303436722	0.1866518017
341	0.9304266629	0.1864389309
342	0.930495157	0.186301415
343	0.9305376854	0.1861373743
344	0.9306416893	0.1860007792
345	0.9307398331	0.1858283964
346	0.9307908017	0.1857036205
347	0.9308435756	0.1855750789
348	0.9309062285	0.1854526119
349	0.9310244897	0.1852920896
350	0.9310967496	0.1851169169
351	0.9311853545	0.1849340753
352	0.9312426747	0.1848293098
353	0.9313628066	0.1846826133
354	0.9313936042	0.1845600363
355	0.9314555416	0.1844251591
356	0.931514167	0.1842993112
357	0.9316077677	0.1840780158
358	0.9316659601	0.183894281
359	0.9317087056	0.1837352704
360	0.9317375316	0.1836085705
361	0.9317643314	0.1835060314
362	0.931839562	0.1833759231
363	0.9319429702	0.1832152083
364	0.9320657057	0.1830221692
365	0.9321001933	0.182921293
366	0.9322027579	0.1827902914
367	0.9322623056	0.1826634541
368	0.9323337347	0.1825228596
369	0.9324314752	0.1823572797
370	0.9325140735	0.1822006193
371	0.9326090233	0.1820772864
372	0.9326799422	0.1819274564
373	0.9327344438	0.1818235705
374	0.9328157896	0.1817249619
375	0.93282373	0.1816064393
376	0.9328358763	0.1815172862
377	0.9329323223	0.1813810346
378	0.9329835818	0.1812609452
379	0.9329968571	0.1811615533
380	0.9330799757	0.181007614
381	0.9331279056	0.180915245
382	0.9332651435	0.1807559596
383	0.9332929821	0.1806239272
384	0.9333854819	0.1804748256
385	0.9334565504	0.1802871601
386	0.9335209794	0.1801152858
387	0.9335968349	0.1800001578
388	0.9337190704	0.1797453836
389	0.9338082646	0.1795728083
390	0.9337994556	0.1795053422
391	0.933871958	0.1793771855
392	0.933957403	0.1792107398
393	0.9339900146	0.1791256684
394	0.9340479035	0.1789903102
395	0.934112049	0.1788800748
396	0.9341642098	0.1787190714
397	0.9342305155	0.1785890731
398	0.9343127553	0.1784637475
399	0.9343822121	0.178354213
400	0.9344468277	0.1782268808
401	0.9345099358	0.1780576864
402	0.9345415958	0.1779399747
403	0.9346219774	0.1777840838
404	0.9346561103	0.1776634722
405	0.9347342579	0.1775178889
406	0.9348119221	0.177372924
407	0.93483182	0.1772724052
408	0.9348882364	0.177157607
409	0.9349503477	0.1770405686
410	0.935004776	0.1769244098
411	0.9350786525	0.1767693848
412	0.9351058023	0.1766566894
413	0.9351594814	0.1765157238
414	0.9352014052	0.1764328652
415	0.9352560905	0.1763306834
416	0.9352768208	0.1762191011
417	0.9353264137	0.176122238
418	0.9353869123	0.1760254161
419	0.9354365734	0.1759032789
420	0.9355025078	0.1757674259
421	0.9355597121	0.1756535348
422	0.9355650092	0.1755490991
423	0.935646418	0.1754585304
424	0.935690889	0.175366395
425	0.9357268851	0.1753021448
426	0.9358064063	0.175177314
427	0.9358451478	0.1750379014
428	0.9359401063	0.1748844157
429	0.9359566894	0.174777836
430	0.9360285415	0.1746612924
431	0.9360452441	0.1746120362
432	0.9361582756	0.1744324106
433	0.9362255236	0.1743174063
434	0.9362737071	0.1742082291
435	0.9363291158	0.1740812681
436	0.9364134585	0.1739546368
437	0.936479514	0.173852936
438	0.9365084003	0.1737796153
439	0.9365690396	0.1736347878
440	0.9366205285	0.1735432022
441	0.9367207353	0.1733744613
442	0.9368022391	0.1732194088
443	0.9368592027	0.1730706783
444	0.9368986532	0.1729673421
445	0.9369719091	0.1728240814
446	0.9370097565	0.1726972852
447	0.937035503	0.1725864314
448	0.9371354614	0.1724463317
449	0.9372515319	0.1722881045
450	0.937277543	0.1721843972
451	0.9373515181	0.1720702174
452	0.9374259879	0.1719894477
453	0.9374682857	0.1718612223
454	0.9375109701	0.1717494889
455	0.9375768175	0.1716384563
456	0.937644598	0.1715122924
457	0.9376569626	0.1714238539
458	0.9377286245	0.1713310176
459	0.937805744	0.1711911515
460	0.9378378597	0.1710649326
461	0.9378862645	0.1709337661
462	0.9379958189	0.1707541405
463	0.9381395654	0.1705273477
464	0.9382019855	0.1703888285
465	0.9382822013	0.1702630769
466	0.9382994816	0.1701781017
467	0.9383720432	0.1700558821
468	0.9384177596	0.1699283988
469	0.9384805729	0.169834463
470	0.9385078901	0.1697271687
471	0.938556567	0.1695144628
472	0.9386287493	0.1693955004
473	0.9386737174	0.1692777336
474	0.9386940431	0.1691479277
475	0.9387780468	0.1690371563
476	0.9388735695	0.1688745587
477	0.9389201329	0.1687356135
478	0.9389785633	0.1686123219
479	0.9390000516	0.1685287073
480	0.9390894706	0.1683988189
481	0.9391332324	0.1682703873
